Neighborhood,Latitude,Longitude
Agara,12.842830000000049,77.48759000000007
Arekere‎,12.885680000000036,77.59668000000005
Banashankari‎,12.87341248765075,77.53801254302039
Banaswadi‎,13.028477106077231,77.63188968370176
Basavanagudi‎,12.938980000000072,77.57137000000006
Begur,12.882450000000063,77.62475000000006
Bellandur‎,12.927350000000047,77.67185000000006
BEML‎,12.964900000000057,77.59240000000005
Bengaluru,12.971940000000075,77.59369000000004
Bidadi‎,12.830190000000073,77.86623000000003
Bommasandra‎,12.817530000000033,77.67879000000005
Brigade,12.966235877087087,77.6067910877087
Chandapura‎,12.794010000000071,77.70015000000006
Devanahalli‎,13.24464000000006,77.71128000000004
Dhobi,12.830190000000073,77.86623000000003
Domlur‎,12.943290000000047,77.65602000000007
Electronics,13.185430000000053,77.79991000000007
Fraser,12.830190000000073,77.86623000000003
Girinagar‎,12.947163401610013,77.55479203719199
HBR,13.041247426010807,77.62417570944993
Hebbal‎,13.049810000000036,77.58903000000004
Hosakote‎,13.077180000000055,77.80178000000006
HSR,12.919430000000034,77.64913000000007
Indiranagar‎,12.978220000000022,77.63397000000003
Ittamadu‎,12.923440000000028,77.54284000000007
J.,12.830190000000073,77.86623000000003
Jakkur‎,13.075640000000021,77.60394000000008
Jayanagar,12.928720000000055,77.58281000000005
Jeevanbheemanagar‎,12.830190000000073,77.86623000000003
Kettohalli‎,12.830190000000073,77.86623000000003
Kodihalli,12.966200000000072,77.64982000000003
Konanakunte‎,12.882330000000024,77.56926000000004
Koramangala‎,12.920040000000029,77.62546000000003
Krishnarajapura‎,13.000390000000039,77.68368000000004
Kundalahalli‎,12.967520000000036,77.71500000000003
Madiwala‎,12.920520000000067,77.62090000000006
Magadi‎,12.986273182096719,77.48859080735956
Mahadevapura‎,12.994090000000028,77.66633000000007
Majestic,12.977590000000077,77.57256000000007
Malleswaram‎,13.006322454623541,77.56841583882036
Marathahalli‎,12.954660000000047,77.70752000000005
Mathikere‎,13.032350000000065,77.55866000000003
Murugeshpalya‎,12.955650000000048,77.65335000000005
Nagarbhavi‎,12.956240000000037,77.50936000000007
Rajajinagar‎,13.011920000000032,77.54717000000005
Rajarajeshwari,12.940380000000005,77.5415385
Ramamurthy,12.951053681479321,77.5814821548696
Sahakara,12.923863292255762,77.54815037246811
Seetharampalya‎,13.113200000000063,77.42463000000004
Shivajinagar‎,12.98720000000003,77.60401000000007
Thubarahalli‎,12.953500000000076,77.72114000000005
Tippasandra‎,12.97171000000003,77.64780000000007
UB,12.973820000000046,77.60310000000004
Ulsoor‎,12.989080000000058,77.62795000000006
Varthur‎,12.943480000000022,77.74703000000005
Whitefield,12.975230000000067,77.75238000000007
Yelahanka‎,13.09931000000006,77.59259000000003
Yeshwantpur‎,13.039120000000025,77.57797000000005
Yeswanthpur‎,13.018643959065566,77.5576167543934
